
 Event Time in Mabp  , 18.7                , HC Masses in Tons   ,
 9                   , 9                   , Liquid              ,
 9                   , 9                   , Vapor               ,
 9                   , 9                   , Water               ,
 9                   , 9                   , Adsorbed            ,
 9                   , 9                   , Inflow              ,
 9                   , 9                   , Outflow             ,
 9                   , 9                   , Top Outflow Layer   ,
 9                   , 9                   , Sid Outflow Layer   ,
 8                   , 10                  , Remaining           ,
 8                   , 10                  , Primary             ,
 8                   , 10                  , Secondary In        ,
 8                   , 10                  , Secondary Out       ,
 8                   , 10                  , Liquid              ,
 8                   , 10                  , Vapor               ,
 8                   , 10                  , Water               ,
 8                   , 10                  , Adsorbed            ,
 8                   , 10                  , Inflow              ,
 8                   , 10                  , Outflow             ,
 8                   , 10                  , Top Outflow Layer   ,
 8                   , 10                  , Sid Outflow Layer   ,
 7                   , 11                  , Remaining           ,
 7                   , 11                  , Primary             ,
 7                   , 11                  , Secondary In        ,
 7                   , 11                  , Secondary Out       ,
 7                   , 11                  , Liquid              ,
 7                   , 11                  , Vapor               ,
 7                   , 11                  , Water               ,
 7                   , 11                  , Adsorbed            ,
 7                   , 11                  , Inflow              ,
 7                   , 11                  , Outflow             ,
 7                   , 11                  , Top Outflow Layer   ,
 7                   , 11                  , Sid Outflow Layer   ,
 6                   , 12                  , Remaining           ,
 6                   , 12                  , Primary             ,
 6                   , 12                  , Secondary In        ,
 6                   , 12                  , Secondary Out       ,
 6                   , 12                  , Liquid              ,
 6                   , 12                  , Vapor               ,
 6                   , 12                  , Water               ,
 6                   , 12                  , Adsorbed            ,
 6                   , 12                  , Inflow              ,
 6                   , 12                  , Outflow             ,
 6                   , 12                  , Top Outflow Layer   ,
 6                   , 12                  , Sid Outflow Layer   ,
 5                   , 13                  , Remaining           ,
 5                   , 13                  , Primary             ,
 5                   , 13                  , Secondary In        ,
 5                   , 13                  , Secondary Out       ,
 5                   , 13                  , Liquid              ,
 5                   , 13                  , Vapor               ,
 5                   , 13                  , Water               ,
 5                   , 13                  , Adsorbed            ,
 5                   , 13                  , Inflow              ,
 5                   , 13                  , Outflow             ,
 5                   , 13                  , Top Outflow Layer   ,
 5                   , 13                  , Sid Outflow Layer   ,
 4                   , 14                  , Remaining           ,
 4                   , 14                  , Primary             ,
 4                   , 14                  , Secondary In        ,
 4                   , 14                  , Secondary Out       ,
 4                   , 14                  , Liquid              ,
 4                   , 14                  , Vapor               ,
 4                   , 14                  , Water               ,
 4                   , 14                  , Adsorbed            ,
 4                   , 14                  , Inflow              ,
 4                   , 14                  , Outflow             ,
 4                   , 14                  , Top Outflow Layer   ,
 4                   , 14                  , Sid Outflow Layer   ,
 3                   , 15                  , Remaining           ,
 3                   , 15                  , Primary             ,
 3                   , 15                  , Secondary In        ,
 3                   , 15                  , Secondary Out       ,
 3                   , 15                  , Liquid              ,
 3                   , 15                  , Vapor               ,
 3                   , 15                  , Water               ,
 3                   , 15                  , Adsorbed            ,
 3                   , 15                  , Inflow              ,
 3                   , 15                  , Outflow             ,
 3                   , 15                  , Top Outflow Layer   ,
 3                   , 15                  , Sid Outflow Layer   ,
 2                   , 16                  , Remaining           ,
 2                   , 16                  , Primary             ,
 2                   , 16                  , Secondary In        ,
 2                   , 16                  , Secondary Out       ,
 2                   , 16                  , Liquid              ,
 2                   , 16                  , Vapor               ,
 2                   , 16                  , Water               ,
 2                   , 16                  , Adsorbed            ,
 2                   , 16                  , Inflow              ,
 2                   , 16                  , Outflow             ,
 2                   , 16                  , Top Outflow Layer   ,
 2                   , 16                  , Sid Outflow Layer   ,
 1                   , 17                  , Remaining           ,
 1                   , 17                  , Primary             ,
 1                   , 17                  , Secondary In        ,
 1                   , 17                  , Secondary Out       ,
 1                   , 17                  , Liquid              ,
 1                   , 17                  , Vapor               ,
 1                   , 17                  , Water               ,
 1                   , 17                  , Adsorbed            ,
 1                   , 17                  , Inflow              ,
 1                   , 17                  , Outflow             ,
 1                   , 17                  , Top Outflow Layer   ,
 1                   , 17                  , Sid Outflow Layer   ,
 0                   , 0                   , Top Outflow         ,
 0                   , 0                   , Sid Outflow         ,

 Event Time in Mabp  , 17                  , HC Masses in Tons   ,
 Layer               , Facies              , Entity              ,
 17                  , 1                   , Remaining           ,
 17                  , 1                   , Primary             ,
 17                  , 1                   , Secondary In        ,
 17                  , 1                   , Secondary Out       ,
 17                  , 1                   , Liquid              ,
 17                  , 1                   , Vapor               ,
 17                  , 1                   , Water               ,
 17                  , 1                   , Adsorbed            ,
 17                  , 1                   , Inflow              ,
 17                  , 1                   , Outflow             ,
 17                  , 1                   , Top Outflow Layer   ,
 17                  , 1                   , Sid Outflow Layer   ,
 16                  , 2                   , Remaining           ,
 16                  , 2                   , Primary             ,
 16                  , 2                   , Secondary In        ,
 16                  , 2                   , Secondary Out       ,
 16                  , 2                   , Liquid              ,
 16                  , 2                   , Vapor               ,
 16                  , 2                   , Water               ,
 16                  , 2                   , Adsorbed            ,
 16                  , 2                   , Inflow              ,
 16                  , 2                   , Outflow             ,
 16                  , 2                   , Top Outflow Layer   ,
 16                  , 2                   , Sid Outflow Layer   ,
 15                  , 3                   , Remaining           ,
 15                  , 3                   , Primary             ,
 15                  , 3                   , Secondary In        ,
 15                  , 3                   , Secondary Out       ,
 15                  , 3                   , Liquid              ,
 15                  , 3                   , Vapor               ,
 15                  , 3                   , Water               ,
 15                  , 3                   , Adsorbed            ,
 15                  , 3                   , Inflow              ,
 15                  , 3                   , Outflow             ,
 15                  , 3                   , Top Outflow Layer   ,
 15                  , 3                   , Sid Outflow Layer   ,
 14                  , 4                   , Remaining           ,
 14                  , 4                   , Primary             ,
 14                  , 4                   , Secondary In        ,
 14                  , 4                   , Secondary Out       ,
 14                  , 4                   , Liquid              ,
 14                  , 4                   , Vapor               ,
 14                  , 4                   , Water               ,
 14                  , 4                   , Adsorbed            ,
 14                  , 4                   , Inflow              ,
 14                  , 4                   , Outflow             ,
 14                  , 4                   , Top Outflow Layer   ,
 14                  , 4                   , Sid Outflow Layer   ,
 13                  , 5                   , Remaining           ,
 13                  , 5                   , Primary             ,
 13                  , 5                   , Secondary In        ,
 13                  , 5                   , Secondary Out       ,
 13                  , 5                   , Liquid              ,
 13                  , 5                   , Vapor               ,
 13                  , 5                   , Water               ,
 13                  , 5                   , Adsorbed            ,
 13                  , 5                   , Inflow              ,
 13                  , 5                   , Outflow             ,
 13                  , 5                   , Top Outflow Layer   ,
 13                  , 5                   , Sid Outflow Layer   ,
 12                  , 6                   , Remaining           ,
 12                  , 6                   , Primary             ,
 12                  , 6                   , Secondary In        ,
 12                  , 6                   , Secondary Out       ,
 12                  , 6                   , Liquid              ,
 12                  , 6                   , Vapor               ,
 12                  , 6                   , Water               ,
 12                  , 6                   , Adsorbed            ,
 12                  , 6                   , Inflow              ,
 12                  , 6                   , Outflow             ,
 12                  , 6                   , Top Outflow Layer   ,
 12                  , 6                   , Sid Outflow Layer   ,
 11                  , 7                   , Remaining           ,
 11                  , 7                   , Primary             ,
 11                  , 7                   , Secondary In        ,
 11                  , 7                   , Secondary Out       ,
 11                  , 7                   , Liquid              ,
 11                  , 7                   , Vapor               ,
 11                  , 7                   , Water               ,
 11                  , 7                   , Adsorbed            ,
 11                  , 7                   , Inflow              ,
 11                  , 7                   , Outflow             ,
 11                  , 7                   , Top Outflow Layer   ,
 11                  , 7                   , Sid Outflow Layer   ,
 10                  , 8                   , Remaining           ,
 10                  , 8                   , Primary             ,
 10                  , 8                   , Secondary In        ,
 10                  , 8                   , Secondary Out       ,
 10                  , 8                   , Liquid              ,
 10                  , 8                   , Vapor               ,
 10                  , 8                   , Water               ,
 10                  , 8                   , Adsorbed            ,
 10                  , 8                   , Inflow              ,
 10                  , 8                   , Outflow             ,
 10                  , 8                   , Top Outflow Layer   ,
 10                  , 8                   , Sid Outflow Layer   ,
 9                   , 9                   , Remaining           ,
 9                   , 9                   , Primary             ,
 9                   , 9                   , Secondary In        ,
 9                   , 9                   , Secondary Out       ,
 9                   , 9                   , Liquid              ,
 9                   , 9                   , Vapor               ,
 9                   , 9                   , Water               ,
 9                   , 9                   , Adsorbed            ,
 9                   , 9                   , Inflow              ,
 9                   , 9                   , Outflow             ,
 9                   , 9                   , Top Outflow Layer   ,
 9                   , 9                   , Sid Outflow Layer   ,
 8                   , 10                  , Remaining           ,
 8                   , 10                  , Primary             ,
 8                   , 10                  , Secondary In        ,
 8                   , 10                  , Secondary Out       ,
 8                   , 10                  , Liquid              ,
 8                   , 10                  , Vapor               ,
 8                   , 10                  , Water               ,
 8                   , 10                  , Adsorbed            ,
 8                   , 10                  , Inflow              ,
 8                   , 10                  , Outflow             ,
 8                   , 10                  , Top Outflow Layer   ,
 8                   , 10                  , Sid Outflow Layer   ,
 7                   , 11                  , Remaining           ,
 7                   , 11                  , Primary             ,
 7                   , 11                  , Secondary In        ,
 7                   , 11                  , Secondary Out       ,
 7                   , 11                  , Liquid              ,
 7                   , 11                  , Vapor               ,
 7                   , 11                  , Water               ,
 7                   , 11                  , Adsorbed            ,
 7                   , 11                  , Inflow              ,
 7                   , 11                  , Outflow             ,
 7                   , 11                  , Top Outflow Layer   ,
 7                   , 11                  , Sid Outflow Layer   ,
 6                   , 12                  , Remaining           ,
 6                   , 12                  , Primary             ,
 6                   , 12                  , Secondary In        ,
 6                   , 12                  , Secondary Out       ,
 6                   , 12                  , Liquid              ,
 6                   , 12                  , Vapor               ,
 6                   , 12                  , Water               ,
 6                   , 12                  , Adsorbed            ,
 6                   , 12                  , Inflow              ,
 6                   , 12                  , Outflow             ,
 6                   , 12                  , Top Outflow Layer   ,
 6                   , 12                  , Sid Outflow Layer   ,
 5                   , 13                  , Remaining           ,
 5                   , 13                  , Primary             ,
 5                   , 13                  , Secondary In        ,
 5                   , 13                  , Secondary Out       ,
 5                   , 13                  , Liquid              ,
 5                   , 13                  , Vapor               ,
 5                   , 13                  , Water               ,
 5                   , 13                  , Adsorbed            ,
 5                   , 13                  , Inflow              ,
 5                   , 13                  , Outflow             ,
 5                   , 13                  , Top Outflow Layer   ,
 5                   , 13                  , Sid Outflow Layer   ,
 4                   , 14                  , Remaining           ,
 4                   , 14                  , Primary             ,
 4                   , 14                  , Secondary In        ,
 4                   , 14                  , Secondary Out       ,
 4                   , 14                  , Liquid              ,
 4                   , 14                  , Vapor               ,
 4                   , 14                  , Water               ,
 4                   , 14                  , Adsorbed            ,
 4                   , 14                  , Inflow              ,
 4                   , 14                  , Outflow             ,
 4                   , 14                  , Top Outflow Layer   ,
 4                   , 14                  , Sid Outflow Layer   ,
 3                   , 15                  , Remaining           ,
 3                   , 15                  , Primary             ,
 3                   , 15                  , Secondary In        ,
 3                   , 15                  , Secondary Out       ,
 3                   , 15                  , Liquid              ,
 3                   , 15                  , Vapor               ,
 3                   , 15                  , Water               ,
 3                   , 15                  , Adsorbed            ,
 3                   , 15                  , Inflow              ,
 3                   , 15                  , Outflow             ,
 3                   , 15                  , Top Outflow Layer   ,
 3                   , 15                  , Sid Outflow Layer   ,
 2                   , 16                  , Remaining           ,
 2                   , 16                  , Primary             ,
 2                   , 16                  , Secondary In        ,
 2                   , 16                  , Secondary Out       ,
 2                   , 16                  , Liquid              ,
 2                   , 16                  , Vapor               ,
 2                   , 16                  , Water               ,
 2                   , 16                  , Adsorbed            ,
 2                   , 16                  , Inflow              ,
 2                   , 16                  , Outflow             ,
 2                   , 16                  , Top Outflow Layer   ,
 2                   , 16                  , Sid Outflow Layer   ,
 1                   , 17                  , Remaining           ,
 1                   , 17                  , Primary             ,
 1                   , 17                  , Secondary In        ,
 1                   , 17                  , Secondary Out       ,
 1                   , 17                  , Liquid              ,
 1                   , 17                  , Vapor               ,
 1                   , 17                  , Water               ,
 1                   , 17                  , Adsorbed            ,
 1                   , 17                  , Inflow              ,
 1                   , 17                  , Outflow             ,
 1                   , 17                  , Top Outflow Layer   ,
 1                   , 17                  , Sid Outflow Layer   ,
 0                   , 0                   , Top Outflow         ,
 0                   , 0                   , Sid Outflow         ,

 Event Time in Mabp  , 14                  , HC Masses in Tons   ,
 Layer               , Facies              , Entity              ,
 17                  , 1                   , Remaining           ,
 17                  , 1                   , Primary             ,
 17                  , 1                   , Secondary In        ,
 17                  , 1                   , Secondary Out       ,
 17                  , 1                   , Liquid              ,
 17                  , 1                   , Vapor               ,
 17                  , 1                   , Water               ,
 17                  , 1                   , Adsorbed            ,
 17                  , 1                   , Inflow              ,
 17                  , 1                   , Outflow             ,
 17                  , 1                   , Top Outflow Layer   ,
 17                  , 1                   , Sid Outflow Layer   ,
 16                  , 2                   , Remaining           ,
 16                  , 2                   , Primary             ,
 16                  , 2                   , Secondary In        ,
 16                  , 2                   , Secondary Out       ,
 16                  , 2                   , Liquid              ,
 16                  , 2                   , Vapor               ,
 16                  , 2                   , Water               ,
 16                  , 2                   , Adsorbed            ,
 16                  , 2                   , Inflow              ,
 16                  , 2                   , Outflow             ,
 16                  , 2                   , Top Outflow Layer   ,
 16                  , 2                   , Sid Outflow Layer   ,
 15                  , 3                   , Remaining           ,
 15                  , 3                   , Primary             ,
 15                  , 3                   , Secondary In        ,
 15                  , 3                   , Secondary Out       ,
 15                  , 3                   , Liquid              ,
 15                  , 3                   , Vapor               ,
 15                  , 3                   , Water               ,
 15                  , 3                   , Adsorbed            ,
 15                  , 3                   , Inflow              ,
 15                  , 3                   , Outflow             ,
 15                  , 3                   , Top Outflow Layer   ,
 15                  , 3                   , Sid Outflow Layer   ,
 14                  , 4                   , Remaining           ,
 14                  , 4                   , Primary             ,
 14                  , 4                   , Secondary In        ,
 14                  , 4                   , Secondary Out       ,
 14                  , 4                   , Liquid              ,
 14                  , 4                   , Vapor               ,
 14                  , 4                   , Water               ,
 14                  , 4                   , Adsorbed            ,
 14                  , 4                   , Inflow              ,
 14                  , 4                   , Outflow             ,
 14                  , 4                   , Top Outflow Layer   ,
 14                  , 4                   , Sid Outflow Layer   ,
 13                  , 5                   , Remaining           ,
 13                  , 5                   , Primary             ,
 13                  , 5                   , Secondary In        ,
 13                  , 5                   , Secondary Out       ,
 13                  , 5                   , Liquid              ,
 13                  , 5                   , Vapor               ,
 13                  , 5                   , Water               ,
 13                  , 5                   , Adsorbed            ,
 13                  , 5                   , Inflow              ,
 13                  , 5                   , Outflow             ,
 13                  , 5                   , Top Outflow Layer   ,
 13                  , 5                   , Sid Outflow Layer   ,
 12                  , 6                   , Remaining           ,
 12                  , 6                   , Primary             ,
 12                  , 6                   , Secondary In        ,
 12                  , 6                   , Secondary Out       ,
 12                  , 6                   , Liquid              ,
 12                  , 6                   , Vapor               ,
 12                  , 6                   , Water               ,
 12                  , 6                   , Adsorbed            ,
 12                  , 6                   , Inflow              ,
 12                  , 6                   , Outflow             ,
 12                  , 6                   , Top Outflow Layer   ,
 12                  , 6                   , Sid Outflow Layer   ,
 11                  , 7                   , Remaining           ,
 11                  , 7                   , Primary             ,
 11                  , 7                   , Secondary In        ,
 11                  , 7                   , Secondary Out       ,
 11                  , 7                   , Liquid              ,
 11                  , 7                   , Vapor               ,
 11                  , 7                   , Water               ,
 11                  , 7                   , Adsorbed            ,
 11                  , 7                   , Inflow              ,
 11                  , 7                   , Outflow             ,
 11                  , 7                   , Top Outflow Layer   ,
 11                  , 7                   , Sid Outflow Layer   ,
 10                  , 8                   , Remaining           ,
 10                  , 8                   , Primary             ,
 10                  , 8                   , Secondary In        ,
 10                  , 8                   , Secondary Out       ,
 10                  , 8                   , Liquid              ,
 10                  , 8                   , Vapor               ,
 10                  , 8                   , Water               ,
 10                  , 8                   , Adsorbed            ,
 10                  , 8                   , Inflow              ,
 10                  , 8                   , Outflow             ,
 10                  , 8                   , Top Outflow Layer   ,
 10                  , 8                   , Sid Outflow Layer   ,
 9                   , 9                   , Remaining           ,
 9                   , 9                   , Primary             ,
 9                   , 9                   , Secondary In        ,
 9                   , 9                   , Secondary Out       ,
 9                   , 9                   , Liquid              ,
 9                   , 9                   , Vapor               ,
 9                   , 9                   , Water               ,
 9                   , 9                   , Adsorbed            ,
 9                   , 9                   , Inflow              ,
 9                   , 9                   , Outflow             ,
 9                   , 9                   , Top Outflow Layer   ,
 9                   , 9                   , Sid Outflow Layer   ,
 8                   , 10                  , Remaining           ,
 8                   , 10                  , Primary             ,
 8                   , 10                  , Secondary In        ,
 8                   , 10                  , Secondary Out       ,
 8                   , 10                  , Liquid              ,
 8                   , 10                  , Vapor               ,
 8                   , 10                  , Water               ,
 8                   , 10                  , Adsorbed            ,
 8                   , 10                  , Inflow              ,
 8                   , 10                  , Outflow             ,
 8                   , 10                  , Top Outflow Layer   ,
 8                   , 10                  , Sid Outflow Layer   ,
 7                   , 11                  , Remaining           ,
 7                   , 11                  , Primary             ,
 7                   , 11                  , Secondary In        ,
 7                   , 11                  , Secondary Out       ,
 7                   , 11                  , Liquid              ,
 7                   , 11                  , Vapor               ,
 7                   , 11                  , Water               ,
 7                   , 11                  , Adsorbed            ,
 7                   , 11                  , Inflow              ,
 7                   , 11                  , Outflow             ,
 7                   , 11                  , Top Outflow Layer   ,
 7                   , 11                  , Sid Outflow Layer   ,
 6                   , 12                  , Remaining           ,
 6                   , 12                  , Primary             ,
 6                   , 12                  , Secondary In        ,
 6                   , 12                  , Secondary Out       ,
 6                   , 12                  , Liquid              ,
 6                   , 12                  , Vapor               ,
 6                   , 12                  , Water               ,
 6                   , 12                  , Adsorbed            ,
 6                   , 12                  , Inflow              ,
 6                   , 12                  , Outflow             ,
 6                   , 12                  , Top Outflow Layer   ,
 6                   , 12                  , Sid Outflow Layer   ,
 5                   , 13                  , Remaining           ,
 5                   , 13                  , Primary             ,
 5                   , 13                  , Secondary In        ,
 5                   , 13                  , Secondary Out       ,
 5                   , 13                  , Liquid              ,
 5                   , 13                  , Vapor               ,
 5                   , 13                  , Water               ,
 5                   , 13                  , Adsorbed            ,
 5                   , 13                  , Inflow              ,
 5                   , 13                  , Outflow             ,
 5                   , 13                  , Top Outflow Layer   ,
 5                   , 13                  , Sid Outflow Layer   ,
 4                   , 14                  , Remaining           ,
 4                   , 14                  , Primary             ,
 4                   , 14                  , Secondary In        ,
 4                   , 14                  , Secondary Out       ,
 4                   , 14                  , Liquid              ,
 4                   , 14                  , Vapor               ,
 4                   , 14                  , Water               ,
 4                   , 14                  , Adsorbed            ,
 4                   , 14                  , Inflow              ,
 4                   , 14                  , Outflow             ,
 4                   , 14                  , Top Outflow Layer   ,
 4                   , 14                  , Sid Outflow Layer   ,
 3                   , 15                  , Remaining           ,
 3                   , 15                  , Primary             ,
 3                   , 15                  , Secondary In        ,
 3                   , 15                  , Secondary Out       ,
 3                   , 15                  , Liquid              ,
 3                   , 15                  , Vapor               ,
 3                   , 15                  , Water               ,
 3                   , 15                  , Adsorbed            ,
 3                   , 15                  , Inflow              ,
 3                   , 15                  , Outflow             ,
 3                   , 15                  , Top Outflow Layer   ,
 3                   , 15                  , Sid Outflow Layer   ,
 2                   , 16                  , Remaining           ,
 2                   , 16                  , Primary             ,
 2                   , 16                  , Secondary In        ,
 2                   , 16                  , Secondary Out       ,
 2                   , 16                  , Liquid              ,
 2                   , 16                  , Vapor               ,
 2                   , 16                  , Water               ,
 2                   , 16                  , Adsorbed            ,
 2                   , 16                  , Inflow              ,
 2                   , 16                  , Outflow             ,
 2                   , 16                  , Top Outflow Layer   ,
 2                   , 16                  , Sid Outflow Layer   ,
 1                   , 17                  , Remaining           ,
 1                   , 17                  , Primary             ,
 1                   , 17                  , Secondary In        ,
 1                   , 17                  , Secondary Out       ,
 1                   , 17                  , Liquid              ,
 1                   , 17                  , Vapor               ,
 1                   , 17                  , Water               ,
 1                   , 17                  , Adsorbed            ,
 1                   , 17                  , Inflow              ,
 1                   , 17                  , Outflow             ,
 1                   , 17                  , Top Outflow Layer   ,
 1                   , 17                  , Sid Outflow Layer   ,
 0                   , 0                   , Top Outflow         ,
 0                   , 0                   , Sid Outflow         ,

 Event Time in Mabp  , 12.98               , HC Masses in Tons   ,
 Layer               , Facies              , Entity              ,
 17                  , 1                   , Remaining           ,
 17                  , 1                   , Primary             ,
 17                  , 1                   , Secondary In        ,
 17                  , 1                   , Secondary Out       ,
 17                  , 1                   , Liquid              ,
 17                  , 1                   , Vapor               ,
 17                  , 1                   , Water               ,
 17                  , 1                   , Adsorbed            ,
 17                  , 1                   , Inflow              ,
 17                  , 1                   , Outflow             ,
 17                  , 1                   , Top Outflow Layer   ,
 17                  , 1                   , Sid Outflow Layer   ,
 16                  , 2                   , Remaining           ,
 16                  , 2                   , Primary             ,
 16                  , 2                   , Secondary In        ,
 16                  , 2                   , Secondary Out       ,
 16                  , 2                   , Liquid              ,
 16                  , 2                   , Vapor               ,
 16                  , 2                   , Water               ,
 16                  , 2                   , Adsorbed            ,
 16                  , 2                   , Inflow              ,
 16                  , 2                   , Outflow             ,
 16                  , 2                   , Top Outflow Layer   ,
 16                  , 2                   , Sid Outflow Layer   ,
 15                  , 3                   , Remaining           ,
 15                  , 3                   , Primary             ,
 15                  , 3                   , Secondary In        ,
 15                  , 3                   , Secondary Out       ,
 15                  , 3                   , Liquid              ,
 15                  , 3                   , Vapor               ,
 15                  , 3                   , Water               ,
 15                  , 3                   , Adsorbed            ,
 15                  , 3                   , Inflow              ,
 15                  , 3                   , Outflow             ,
 15                  , 3                   , Top Outflow Layer   ,
 15                  , 3                   , Sid Outflow Layer   ,
 14                  , 4                   , Remaining           ,
 14                  , 4                   , Primary             ,
 14                  , 4                   , Secondary In        ,
 14                  , 4                   , Secondary Out       ,
 14                  , 4                   , Liquid              ,
 14                  , 4                   , Vapor               ,
 14                  , 4                   , Water               ,
 14                  , 4                   , Adsorbed            ,
 14                  , 4                   , Inflow              ,
 14                  , 4                   , Outflow             ,
